label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
A,-0.004985,0.056465,0.245531,0.239025,0.341651,0.543562,0.302231,0.812455,0.251741,1.025642,0.167841,0.716751,0.105937,0.868140,0.205754,0.725328,0.214729,0.573910,0.014723,0.681829,0.024043,0.792176,0.104999,0.481286,0.144239,0.284914,-0.195052,0.586910,-0.085534,0.664248,-0.035504,0.504885,0.001749,0.367879,-0.286976,0.497403,-0.166506,0.549117,-0.168787,0.387595,-0.105515,0.240416
A,-0.007675,-0.022266,0.278354,0.227650,0.340135,0.538105,0.308744,0.817510,0.186790,0.944973,0.191693,0.686695,0.097958,0.884091,0.191446,0.653427,0.215265,0.569386,0.011232,0.664779,-0.026766,0.812778,0.085845,0.554720,0.158869,0.438744,-0.089517,0.612801,-0.103152,0.709703,0.008863,0.467405,0.020193,0.325304,-0.288697,0.463283,-0.227446,0.564203,-0.138627,0.401093,-0.084344,0.270113
A,-0.000000,0.000000,0.244501,0.205580,0.347564,0.524372,0.311667,0.785097,0.242534,0.970143,0.163058,0.696915,0.151770,0.870396,0.183975,0.696516,0.206708,0.533995,-0.000000,0.647751,0.022413,0.796063,0.095307,0.554368,0.127024,0.369074,-0.144100,0.576406,-0.095486,0.694546,-0.014119,0.451683,0.015396,0.281662,-0.284109,0.486593,-0.209636,0.544260,-0.134835,0.380818,-0.100152,0.264240
A,0.022687,0.011365,0.207456,0.248849,0.332542,0.474719,0.280316,0.754466,0.244099,0.961927,0.152954,0.715506,0.161967,0.879878,0.196270,0.715000,0.143470,0.523062,-0.065406,0.648833,0.022274,0.827429,0.130936,0.560451,0.112013,0.383628,-0.159937,0.576364,-0.065902,0.677813,0.010051,0.472005,-0.013247,0.310879,-0.263152,0.489651,-0.232506,0.518484,-0.150965,0.397096,-0.128821,0.277365
A,-0.037253,-0.006122,0.247790,0.278934,0.306245,0.568532,0.316162,0.797432,0.246085,0.983485,0.158448,0.740536,0.138076,0.904363,0.164644,0.694709,0.174549,0.547646,0.043354,0.645431,0.016506,0.762625,0.088428,0.506584,0.099637,0.375877,-0.104529,0.660682,-0.113084,0.737605,-0.006807,0.447146,0.028374,0.283519,-0.280797,0.474343,-0.251579,0.497951,-0.115237,0.372517,-0.118035,0.264495
A,0.023848,0.005411,0.224819,0.242369,0.394940,0.539208,0.340877,0.822356,0.276437,0.988566,0.181009,0.712505,0.118850,0.891418,0.143301,0.672678,0.245815,0.559202,0.044622,0.639601,-0.012155,0.788850,0.098368,0.556737,0.161034,0.358235,-0.133538,0.546747,-0.081977,0.694639,-0.036614,0.444608,0.009871,0.273557,-0.230969,0.483640,-0.216953,0.481336,-0.161661,0.372926,-0.120728,0.305691
A,-0.000000,0.000000,0.249883,0.224304,0.331542,0.545586,0.280224,0.799015,0.205777,0.978599,0.159694,0.698147,0.121413,0.860640,0.154240,0.685266,0.181607,0.532153,0.000000,0.642148,-0.006894,0.780510,0.071262,0.546812,0.103158,0.374743,-0.140445,0.562929,-0.126808,0.678324,-0.033200,0.443962,0.004636,0.283176,-0.276857,0.468380,-0.233362,0.539950,-0.152626,0.389100,-0.109254,0.279459
A,-0.004948,0.038653,0.251735,0.225420,0.328878,0.545700,0.331788,0.729426,0.145731,0.962304,0.160130,0.718850,0.135606,0.849113,0.184811,0.716171,0.187129,0.561033,0.008179,0.625304,0.014040,0.783829,0.071302,0.591001,0.029632,0.332212,-0.176057,0.552031,-0.134446,0.633104,-0.062755,0.418137,0.078359,0.337228,-0.289209,0.457472,-0.267838,0.482706,-0.156132,0.359164,-0.111799,0.231453
A,-0.022859,0.004459,0.260870,0.236828,0.291927,0.571227,0.256218,0.818000,0.205458,0.937307,0.150208,0.709108,0.139802,0.856410,0.200193,0.715491,0.173908,0.554657,0.058014,0.700963,-0.043734,0.752714,0.115809,0.515064,0.063482,0.360157,-0.127838,0.559857,-0.146325,0.658098,-0.054570,0.417577,0.073085,0.292101,-0.250254,0.453707,-0.238941,0.518543,-0.232177,0.347759,-0.163572,0.211965
A,-0.035861,0.039749,0.248550,0.263020,0.343871,0.569063,0.253197,0.814733,0.227639,0.961299,0.176480,0.715133,0.104927,0.826957,0.118716,0.687861,0.191418,0.508377,0.000798,0.659264,0.011652,0.827067,0.109571,0.516773,0.153666,0.358814,-0.109099,0.564969,-0.139172,0.624093,-0.038347,0.397181,0.033655,0.328680,-0.300764,0.477439,-0.255124,0.521096,-0.129391,0.387943,-0.057064,0.264992
A,-0.000000,0.000000,0.245310,0.200826,0.343725,0.520654,0.308374,0.780732,0.250506,0.968115,0.165291,0.690954,0.150251,0.876563,0.180266,0.705118,0.207743,0.539635,0.000000,0.644989,0.016423,0.801256,0.080151,0.562209,0.113086,0.378212,-0.153434,0.573862,-0.117763,0.702456,-0.043205,0.460546,-0.011414,0.289580,-0.306931,0.483200,-0.249996,0.553646,-0.174271,0.388658,-0.133784,0.268606
A,0.029980,0.002922,0.269184,0.187411,0.342238,0.517189,0.283292,0.800595,0.270013,0.985922,0.211400,0.734435,0.139003,0.887754,0.161558,0.705819,0.189751,0.588237,0.010911,0.638448,0.052231,0.736138,0.019727,0.586084,0.114900,0.385725,-0.193226,0.573165,-0.057658,0.727182,-0.038114,0.447374,-0.023252,0.225704,-0.299202,0.508564,-0.297264,0.533803,-0.208995,0.359697,-0.132179,0.206074
A,0.018428,0.022616,0.237777,0.126404,0.313832,0.557641,0.225034,0.770306,0.215106,0.992252,0.145037,0.703073,0.167215,0.931650,0.174178,0.716399,0.163191,0.575347,-0.022815,0.628166,0.015755,0.754370,0.087014,0.591233,0.121874,0.330545,-0.157148,0.596123,-0.174103,0.670213,-0.016909,0.468649,0.000945,0.345365,-0.292874,0.502936,-0.168673,0.547231,-0.198207,0.401492,-0.120614,0.252804
A,-0.030972,0.069295,0.255116,0.178857,0.371203,0.517380,0.300787,0.797600,0.211749,0.978694,0.222679,0.704940,0.138965,0.861350,0.167956,0.697499,0.196409,0.567124,-0.051996,0.670849,0.005032,0.812565,0.046341,0.602068,0.150455,0.406999,-0.198877,0.598736,-0.105618,0.654298,-0.043934,0.471482,0.005268,0.294898,-0.298194,0.527408,-0.213215,0.467634,-0.183794,0.383718,-0.186347,0.271431
A,-0.000000,0.000000,0.248823,0.202518,0.353504,0.526860,0.308943,0.789865,0.232760,0.972534,0.166671,0.682835,0.134730,0.868417,0.164158,0.705763,0.192418,0.551448,0.000000,0.634743,0.010708,0.789437,0.081333,0.550447,0.110648,0.365568,-0.152660,0.562889,-0.119014,0.688807,-0.037053,0.445793,-0.006111,0.276224,-0.305091,0.471748,-0.241607,0.544831,-0.163175,0.376411,-0.124348,0.254391
A,0.037463,-0.032597,0.258915,0.175043,0.333346,0.571182,0.292667,0.803732,0.176624,1.028404,0.184751,0.677360,0.151996,0.826123,0.199634,0.696043,0.186296,0.536698,-0.017419,0.655583,0.018385,0.808989,0.081069,0.565843,0.098083,0.432460,-0.199698,0.600717,-0.077977,0.663243,0.029825,0.475658,0.023023,0.277064,-0.311608,0.465466,-0.229891,0.586867,-0.157735,0.349067,-0.099615,0.282025
A,0.019640,0.022365,0.240695,0.174648,0.327458,0.477797,0.316052,0.787362,0.219561,0.883866,0.129252,0.716461,0.114791,0.879235,0.122437,0.748924,0.188097,0.560149,0.069773,0.680236,0.001511,0.771640,0.071566,0.565744,0.107492,0.353711,-0.108644,0.559462,-0.050026,0.691530,0.016506,0.456513,0.022778,0.254485,-0.330704,0.485540,-0.211951,0.546039,-0.201766,0.335603,-0.167162,0.201362
A,0.003285,0.033751,0.248421,0.134705,0.347781,0.521976,0.371823,0.746151,0.221040,1.023710,0.180171,0.699735,0.138168,0.878315,0.187486,0.681478,0.218760,0.510257,0.009851,0.640105,-0.007781,0.788756,0.062657,0.518296,0.100040,0.332448,-0.142976,0.528386,-0.097655,0.653363,-0.054042,0.427055,0.033643,0.286133,-0.311443,0.486710,-0.304823,0.543537,-0.103249,0.380381,-0.122311,0.270835
A,-0.000000,0.000000,0.244899,0.189368,0.353990,0.520918,0.322532,0.786360,0.246627,0.969111,0.168275,0.694947,0.153160,0.886406,0.173403,0.690425,0.197690,0.523577,0.000000,0.647238,0.007881,0.807370,0.068361,0.559010,0.099241,0.376382,-0.155259,0.573587,-0.123786,0.702887,-0.046854,0.449013,-0.010732,0.272959,-0.307657,0.478909,-0.252905,0.562196,-0.176747,0.393095,-0.134014,0.266866
A,0.026868,-0.059924,0.194430,0.195677,0.332544,0.560279,0.313077,0.728324,0.208586,0.886620,0.161251,0.689295,0.140426,0.918772,0.209359,0.685314,0.133649,0.542095,0.016661,0.656520,0.037325,0.772425,0.128624,0.530227,0.121717,0.325762,-0.183167,0.619078,-0.131613,0.728085,-0.039745,0.445864,0.030183,0.265859,-0.361080,0.454811,-0.236369,0.574062,-0.223759,0.371365,-0.151465,0.255902
A,-0.041277,-0.018851,0.223041,0.212514,0.378263,0.516544,0.310771,0.790558,0.222129,0.934706,0.140068,0.675902,0.118256,0.891268,0.195295,0.642812,0.198444,0.516979,0.010245,0.646850,-0.035727,0.769498,0.069244,0.589874,0.032815,0.386754,-0.119570,0.568996,-0.107280,0.681795,-0.050435,0.400386,-0.081063,0.301242,-0.337207,0.465243,-0.294499,0.519897,-0.181962,0.371208,-0.122674,0.280442
A,0.009625,0.007158,0.292232,0.157340,0.352342,0.554899,0.360468,0.743707,0.237256,1.009854,0.183517,0.700805,0.146629,0.874892,0.182050,0.682854,0.196413,0.525935,-0.020342,0.663202,0.095308,0.754060,0.078082,0.536204,0.116563,0.377779,-0.132403,0.608852,-0.118013,0.736849,-0.117183,0.496727,0.000519,0.305294,-0.344254,0.453986,-0.248527,0.561685,-0.168255,0.425631,-0.186970,0.296081
A,-0.000000,0.000000,0.252024,0.224321,0.337850,0.544204,0.281044,0.800135,0.205164,0.978728,0.163590,0.676932,0.103258,0.866092,0.139264,0.714636,0.187005,0.570724,0.000000,0.618068,-0.020041,0.789979,0.055151,0.563064,0.093976,0.384461,-0.146329,0.534112,-0.155402,0.676171,-0.059922,0.443892,-0.012360,0.278288,-0.293281,0.429070,-0.272838,0.520664,-0.182205,0.368740,-0.125483,0.250076
A,0.000248,-0.006113,0.207891,0.239413,0.265427,0.563656,0.236281,0.801738,0.201589,1.013814,0.158230,0.656108,0.088060,0.904279,0.155353,0.703067,0.179912,0.523709,0.011654,0.565274,0.002513,0.793838,0.126760,0.530060,0.090896,0.438409,-0.110587,0.513226,-0.148683,0.676231,-0.051463,0.422932,-0.015040,0.230346,-0.289227,0.442571,-0.279661,0.472212,-0.152549,0.379676,-0.147263,0.241658
A,-0.045020,-0.030762,0.235890,0.261174,0.318665,0.563410,0.264895,0.807573,0.200922,1.004919,0.147546,0.629756,0.061799,0.850136,0.101792,0.726942,0.173032,0.641962,-0.052131,0.624177,-0.053880,0.775177,0.059394,0.493302,0.101081,0.441548,-0.159932,0.541906,-0.124654,0.671252,-0.077351,0.375620,0.006870,0.274893,-0.323661,0.432868,-0.290348,0.504811,-0.164016,0.328588,-0.094063,0.208145
A,-0.019881,0.057688,0.285845,0.227249,0.309635,0.528326,0.283242,0.801260,0.202437,0.977803,0.157159,0.633672,0.087762,0.893531,0.098214,0.708949,0.162412,0.574064,-0.011659,0.662390,-0.004843,0.750625,0.075288,0.539824,0.076666,0.393875,-0.161082,0.560898,-0.178637,0.657602,-0.079613,0.426923,0.020616,0.297152,-0.241982,0.497100,-0.303759,0.522777,-0.217491,0.345412,-0.144385,0.218361
A,-0.000000,0.000000,0.253943,0.174146,0.363224,0.509460,0.312552,0.784416,0.236755,0.971569,0.172947,0.661454,0.118155,0.890831,0.155736,0.734418,0.204430,0.577771,0.000000,0.609569,-0.016225,0.790137,0.055673,0.548087,0.095698,0.364130,-0.155867,0.527409,-0.154080,0.659151,-0.065945,0.410769,-0.017277,0.240429,-0.309529,0.423812,-0.289300,0.514158,-0.202986,0.345981,-0.146857,0.219414
A,-0.031557,-0.004329,0.217442,0.199410,0.335692,0.593747,0.299010,0.786576,0.197895,1.022752,0.206532,0.670362,0.077751,0.897151,0.122093,0.778288,0.228706,0.580634,-0.073091,0.580067,0.004408,0.826524,0.088949,0.500326,0.104744,0.394596,-0.205617,0.527172,-0.145864,0.650128,-0.121510,0.400998,-0.027096,0.235987,-0.326434,0.410522,-0.290491,0.527432,-0.212119,0.333691,-0.144087,0.161787
A,0.014311,-0.000017,0.255134,0.202968,0.304640,0.450245,0.320766,0.784202,0.241860,0.957706,0.192877,0.689433,0.132674,0.883006,0.092506,0.757495,0.241082,0.597108,-0.026389,0.629783,0.009591,0.836902,0.029390,0.541293,0.118116,0.365853,-0.189387,0.539848,-0.136720,0.661790,-0.059358,0.403008,0.027071,0.213408,-0.327149,0.424142,-0.262931,0.469237,-0.242295,0.284849,-0.145876,0.185865
A,-0.011537,0.019841,0.234697,0.181085,0.354244,0.529624,0.326806,0.763658,0.231695,1.002882,0.184748,0.619545,0.137823,0.858293,0.198112,0.765141,0.213126,0.582488,-0.006271,0.629925,-0.027349,0.797204,0.081832,0.531232,0.077212,0.328299,-0.187801,0.472558,-0.132185,0.713419,-0.023185,0.361986,0.004468,0.283092,-0.323234,0.426856,-0.349537,0.522160,-0.234893,0.351970,-0.193693,0.235700
A,-0.000000,0.000000,0.253055,0.175324,0.361490,0.512511,0.319450,0.781834,0.247565,0.968871,0.175382,0.676820,0.114936,0.890954,0.161506,0.712688,0.204212,0.546911,0.000000,0.625168,-0.026219,0.801833,0.057389,0.557482,0.098408,0.378494,-0.159591,0.538795,-0.170688,0.676315,-0.075668,0.429823,-0.027663,0.265221,-0.318167,0.430319,-0.307484,0.525667,-0.216089,0.360955,-0.159471,0.238392
A,0.030735,-0.023495,0.218947,0.110643,0.353497,0.495063,0.272919,0.795424,0.234066,0.936599,0.158744,0.708960,0.133024,0.887054,0.180079,0.677860,0.205183,0.551331,-0.014095,0.638232,-0.049632,0.817128,0.073944,0.469967,0.134117,0.287065,-0.178072,0.569555,-0.180207,0.632330,-0.108480,0.460631,-0.085308,0.299091,-0.319820,0.394547,-0.324978,0.495150,-0.190102,0.382928,-0.211046,0.226284
